##
##   input data of hopping integrals t(x,y;mu,nu)
##
# mu nu      [1,0]  [1,1]  [2.0]  [2,1]  [2,2]
############################################
  1 1     0.72	-0.13	-0.38	-0.15	-0.18
  1 2     0.00	0.97	0.00	-0.03	0.00  
  1 3     1.03	0.97	0.03	-0.01	0.00  
  1 4     3.01	0.00	-0.01	0.18	0.00  
  1 5     0.00	-1.59	0.00	0.01	0.17  
#############################################
  2 2    0.69	2.40	0.30	0.32	0.38 
  2 3    0.00	1.05	0.00	0.14	0.33 
  2 4    0.00	-0.98	0.00	0.16	0.00 
  2 5    -2.33	0.13	0.06	-0.15	0.00 
#############################################
  3 3   3.43	2.40	-0.06	0.14	0.38   
  3 4   3.58	0.98	0.01	0.30	0.00   
  3 5   0.00	0.13	0.00	-0.01	0.00   
#############################################
  4 4    -3.15	-0.67	-0.19	-0.02	0.01
  4 5    0.00	0.00	0.00	-0.10	0.00
#############################################
  5 5    -1.52	1.18	-0.24	0.30	-0.28
#############################################
END_OF_HOPPING_DATA
on-site
1  0.89
2  1.1 
3  1.1 
4  0.79
5  1.26
END_OF_ON-SITE_DATA

Dkshift 1.0d0 1.0d0

END_OF_DATA

## 1111 xyz









































