##
##   input data of hopping integrals t(x,y;mu,nu)
##
# mu nu      [1,0]  [1,1]  [2.0]  [2,1]  [2,2]
############################################
  1 1       -0.9	-0.7	 0.0	 0.2	-0.2 
  1 2        0.0	 1.4	 0.0	 0.0	 0.0  
  1 3        1.8	 1.4	-0.2	-0.1	 0.0  
  1 4        3.4	 0.0	-0.3	 0.1	 0.0  
  1 5        0.0	-0.2	 0.0	-0.1	 0.1  
#############################################
  2 2        0.6	 2.2	 0.0	 0.5	0.3
  2 3        0.0	 1.2	 0.0	 0.3	0.5
  2 4        0.0	-0.7	 0.0	 0.4	0.0
  2 5       -2.6	 1.0	 0.1	-0.1	0.0
#############################################
  3 3        2.7	2.2	-0.6	-0.2	0.3
  3 4        3.2	0.7	-0.1	 0.2	0.0
  3 5        0.0	1.0	 0.0	-0.2	0.0
#############################################
  4 4       -3.9	0.0	-0.1	0.0	0.1
  4 5        0.0	0.0	 0.0	0.2	0.0
#############################################
  5 5        0.9	0.4	 0.1	0.1	-0.2
#############################################
END_OF_HOPPING_DATA
on-site
1 0.189
2 0.774
3 0.774
4 0.163
5 0.466
END_OF_ON-SITE_DATA

Dkshift 1.0d0 1.0d0

END_OF_DATA

## FeTe xyz
